"","assessmentId","internalTaxonId","scientificName","kingdomName","phylumName","orderName","className","familyName","genusName","speciesName","infraType","infraName","infraAuthority","authority","redlistCategory","redlistCriteria","criteriaVersion","populationTrend","scopes","Scientific.x","MSW3_ID","Scientific.y","MSWFamilyLatin","Diet.Inv","Diet.Vend","Diet.Vect","Diet.Vfish","Diet.Vunk","Diet.Scav","Diet.Fruit","Diet.Nect","Diet.Seed","Diet.PlantO","Diet.Source","Diet.Certainty","ForStrat.Value","ForStrat.Certainty","ForStrat.Comment","Activity.Nocturnal","Activity.Crepuscular","Activity.Diurnal","Activity.Source","Activity.Certainty","BodyMass.Value","BodyMass.Source","BodyMass.SpecLevel"
"4090",50380891,41712,"Eubalaena glacialis","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","BALAENIDAE","Eubalaena","glacialis",NA,NA,NA,"(P.L.S. Müller, 1776)","Endangered","D",3.1,"Decreasing","Global","Eubalaena glacialis",5337,"Eubalaena glacialis","Balaenidae",100,0,0,0,0,0,0,0,0,0,"Ref_95","ABC","M","A","",1,1,1,"Ref_1","ABC",2.3e+07,"Ref_117",1
"4091",50381127,41714,"Tursiops aduncus","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","DELPHINIDAE","Tursiops","aduncus",NA,NA,NA,"(Ehrenberg, 1833)","Near Threatened","A4cd",3.1,"Unknown","Global","Tursiops aduncus",5379,"Tursiops aduncus","Delphinidae",20,0,0,80,0,0,0,0,0,0,"Ref_1","ABC","M","A","",0,0,1,"Ref_1","ABC",175000,"Ref_2, Ref_3",0
"4092",50381544,41715,"Phocoena dioptrica","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","PHOCOENIDAE","Phocoena","dioptrica",NA,NA,NA,"(Lahille, 1912)","Least Concern","",3.1,"Unknown","Global","Phocoena dioptrica",5385,"Phocoena dioptrica","Phocoenidae",0,0,0,100,0,0,0,0,0,0,"Ref_1","ABC","M","A","",1,1,1,"Ref_3","D2",65000,"Ref_58",1
"4093",50381766,41754,"Neophocaena asiaeorientalis","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","PHOCOENIDAE","Neophocaena","asiaeorientalis",NA,NA,NA,"(Pilleri &amp; Gihr, 1972)","Endangered","A2bcde+3bcde+4bcde",3.1,"Decreasing","Global","Neophocaena asiaeorientalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4094",50386795,198920,"Neophocaena phocaenoides","ANIMALIA","CHORDATA","CETARTIODACTYLA","MAMMALIA","PHOCOENIDAE","Neophocaena","phocaenoides",NA,NA,NA,"(G. Cuvier, 1829)","Vulnerable","A2cde+3cde+4cde",3.1,"Decreasing","Global","Neophocaena phocaenoides",5384,"Neophocaena phocaenoides","Phocoenidae",40,0,0,60,0,0,0,0,0,0,"Ref_1","ABC","M","A","",1,1,1,"Ref_3","D2",32500,"Ref_117",1
"4095",50534302,112169507,"Cricetomys gambianus","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","NESOMYIDAE","Cricetomys","gambianus",NA,NA,NA,"Waterhouse, 1840","Least Concern","",3.1,"Stable","Global","Cricetomys gambianus",1337,"Cricetomys gambianus","Nesomyidae",40,0,0,0,0,0,30,0,20,10,"Ref_1","ABC","G","A","",1,0,0,"Ref_1","ABC",1271,"Ref_117",1
"4096",50535223,111932681,"Cryptomys hottentotus","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","BATHYERGIDAE","Cryptomys","hottentotus",NA,NA,NA,"(Lesson, 1826)","Least Concern","",3.1,"Stable","Global","Cryptomys hottentotus",2839,"Cryptomys hottentotus","Bathyergidae",0,0,0,0,0,0,0,0,0,100,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",101.95,"Ref_117",1
"4097",50562581,110662669,"Otomys irroratus","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","MURIDAE","Otomys","irroratus",NA,NA,NA,"(Brants, 1827)","Least Concern","",3.1,"Decreasing","Global","Otomys irroratus",2756,"Otomys irroratus","Muridae",0,0,0,0,0,0,10,0,10,80,"Ref_1","ABC","G","A","",1,1,1,"Ref_1","ABC",118.02,"Ref_117",1
"4098",50596693,44990,"Aethomys ineptus","ANIMALIA","CHORDATA","RODENTIA","MAMMALIA","MURIDAE","Aethomys","ineptus",NA,NA,NA,"(Thomas & Wroughton, 1908)","Least Concern","",3.1,"Unknown","Global","Aethomys ineptus",2222,"Aethomys ineptus","Muridae",0,0,0,0,0,0,20,0,20,60,"Ref_2","D1","G","A","",1,0,0,"Ref_1","ABC",133.16,"Ref_58",1
"4099",50649567,219,"Acinonyx jubatus","ANIMALIA","CHORDATA","CARNIVORA","MAMMALIA","FELIDAE","Acinonyx","jubatus",NA,NA,NA,"(Schreber, 1775)","Vulnerable","A2acd; C1",3.1,"Decreasing","Global","Acinonyx jubatus",4791,"Acinonyx jubatus","Felidae",0,100,0,0,0,0,0,0,0,0,"Ref_1","ABC","G","A","",0,0,1,"Ref_1","ABC",46700,"Ref_117",1
