assessmentId,internalTaxonId,scientificName,kingdomName,phylumName,orderName,className,familyName,genusName,speciesName,infraType,infraName,infraAuthority,authority,redlistCategory,redlistCriteria,criteriaVersion,populationTrend,scopes
93806146,22700943,Perissocephalus tricolor,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Perissocephalus,tricolor,,,,"(Müller, 1776)",Least Concern,,3.1,Decreasing,Global
93806341,22700946,Procnias tricarunculatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Procnias,tricarunculatus,,,,"(Verreaux & Verreaux, 1853)",Vulnerable,A2c+3c+4c,3.1,Decreasing,Global
93806627,22700957,Procnias albus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Procnias,albus,,,,"(Hermann, 1783)",Least Concern,,3.1,Decreasing,Global
93806811,22700965,Procnias averano,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Procnias,averano,,,,"(Hermann, 1783)",Least Concern,,3.1,Decreasing,Global
93807001,22700968,Procnias nudicollis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Procnias,nudicollis,,,,"(Vieillot, 1817)",Vulnerable,A2cd+3cd+4cd,3.1,Decreasing,Global
93807320,22700971,Rupicola rupicola,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,COTINGIDAE,Rupicola,rupicola,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Stable,Global
93807719,22700982,Oxyruncus cristatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TITYRIDAE,Oxyruncus,cristatus,,,,"(Swainson, 1821)",Least Concern,,3.1,Unknown,Global
93808141,22700988,Pipra fasciicauda,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Pipra,fasciicauda,,,,"Hellmayr, 1906",Least Concern,,3.1,Decreasing,Global
93808541,22700994,Ceratopipra mentalis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Ceratopipra,mentalis,,,,"Sclater, 1857",Least Concern,,3.1,Decreasing,Global
93808747,22700997,Ceratopipra erythrocephala,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Ceratopipra,erythrocephala,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Stable,Global
93808976,22701000,Ceratopipra rubrocapilla,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Ceratopipra,rubrocapilla,,,,"Temminck, 1821",Least Concern,,3.1,Decreasing,Global
93809499,22701009,Pseudopipra pipra,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Pseudopipra,pipra,,,,"(Linnaeus, 1758)",Least Concern,,3.1,Decreasing,Global
93809726,22701012,Lepidothrix coronata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Lepidothrix,coronata,,,,"Spix, 1825",Least Concern,,3.1,Decreasing,Global
93810106,22701027,Lepidothrix serena,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Lepidothrix,serena,,,,"Linnaeus, 1766",Least Concern,,3.1,Stable,Global
93810290,22701033,Lepidothrix iris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Lepidothrix,iris,,,,"Schinz, 1851",Vulnerable,A3c,3.1,Decreasing,Global
93810502,22701040,Lepidothrix vilasboasi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Lepidothrix,vilasboasi,,,,"Sick, 1959",Vulnerable,C2a(ii),3.1,Decreasing,Global
93810914,22701056,Lepidothrix isidorei,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Lepidothrix,isidorei,,,,"Sclater, 1852",Near Threatened,A3c,3.1,Stable,Global
93811473,22701071,Chiroxiphia linearis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Chiroxiphia,linearis,,,,"(Bonaparte, 1838)",Least Concern,,3.1,Stable,Global
93812244,22701083,Chiroxiphia caudata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Chiroxiphia,caudata,,,,"(Shaw & Nodder, 1793)",Least Concern,,3.1,Stable,Global
93812424,22701087,Masius chrysopterus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Masius,chrysopterus,,,,"(Lafresnaye, 1843)",Least Concern,,3.1,Stable,Global
93812594,22701090,Ilicura militaris,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Ilicura,militaris,,,,"(Shaw & Nodder, 1808)",Least Concern,,3.1,Decreasing,Global
93813290,22701103,Manacus candei,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Manacus,candei,,,,"(Parzudaki, 1841)",Least Concern,,3.1,Stable,Global
93813486,22701106,Manacus aurantiacus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Manacus,aurantiacus,,,,"(Salvin, 1870)",Least Concern,,3.1,Decreasing,Global
93813666,22701109,Manacus vitellinus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Manacus,vitellinus,,,,"(Gould, 1843)",Least Concern,,3.1,Stable,Global
93813825,22701112,Manacus manacus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Manacus,manacus,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Stable,Global
93814823,22701128,Chloropipo unicolor,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Chloropipo,unicolor,,,,"Taczanowski, 1884",Least Concern,,3.1,Decreasing,Global
93814988,22701134,Xenopipo uniformis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Xenopipo,uniformis,,,,"Salvin & Godman, 1884",Least Concern,,3.1,Stable,Global
93815339,22701147,Chloropipo flavicapilla,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Chloropipo,flavicapilla,,,,"(P.L. Sclater, 1852)",Vulnerable,C2a(i),3.1,Decreasing,Global
93815808,22701161,Heterocercus flavivertex,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Heterocercus,flavivertex,,,,"Pelzeln, 1868",Least Concern,,3.1,Stable,Global
93816337,22701173,Neopelma chrysocephalum,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Neopelma,chrysocephalum,,,,"(Pelzeln, 1868)",Least Concern,,3.1,Stable,Global
93816542,22701178,Neopelma sulphureiventer,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Neopelma,sulphureiventer,,,,"(Hellmayr, 1903)",Least Concern,,3.1,Decreasing,Global
93816866,22701188,Neopelma aurifrons,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Neopelma,aurifrons,,,,"(Wied, 1831)",Vulnerable,"B1ab(i,ii,iii,iv,v)",3.1,Decreasing,Global
93817142,22701195,Tyranneutes stolzmanni,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Tyranneutes,stolzmanni,,,,"(Hellmayr, 1906)",Least Concern,,3.1,Decreasing,Global
93817332,22701200,Tyranneutes virescens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,PIPRIDAE,Tyranneutes,virescens,,,,"(Pelzeln, 1868)",Least Concern,,3.1,Decreasing,Global
93817514,22701205,Piprites pileata,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,TYRANNIDAE,Piprites,pileata,,,,"(Temminck, 1822)",Vulnerable,C2a(i),3.1,Decreasing,Global
93818172,22701223,Cymbilaimus lineatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Cymbilaimus,lineatus,,,,"(Leach, 1814)",Least Concern,,3.1,Stable,Global
93818418,22701226,Cymbilaimus sanctaemariae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Cymbilaimus,sanctaemariae,,,,"Gyldenstolpe, 1941",Least Concern,,3.1,Decreasing,Global
93818949,22701235,Mackenziaena severa,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Mackenziaena,severa,,,,"(Lichtenstein, 1823)",Least Concern,,3.1,Stable,Global
93819131,22701238,Mackenziaena leachii,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Mackenziaena,leachii,,,,"(Such, 1825)",Least Concern,,3.1,Decreasing,Global
93819323,22701241,Frederickena viridis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Frederickena,viridis,,,,"(Vieillot, 1816)",Least Concern,,3.1,Decreasing,Global
93819991,103657712,Sakesphorus canadensis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Sakesphorus,canadensis,,,,"(Linnaeus, 1766)",Least Concern,,3.1,Decreasing,Global
93820228,22701257,Sakesphorus cristatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Sakesphorus,cristatus,,,,"(Wied, 1831)",Least Concern,,3.1,Decreasing,Global
93820395,103658059,Thamnophilus bernardi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,bernardi,,,,"(Lesson, 1844)",Least Concern,,3.1,Stable,Global
93820576,22701263,Thamnophilus melanonotus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,melanonotus,,,,"(Sclater, 1855)",Least Concern,,3.1,Decreasing,Global
93820750,22701266,Thamnophilus melanothorax,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,melanothorax,,,,"(Sclater, 1857)",Least Concern,,3.1,Decreasing,Global
93820943,22701269,Sakesphorus luctuosus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Sakesphorus,luctuosus,,,,"(Lichtenstein, 1823)",Least Concern,,3.1,Decreasing,Global
93821725,22701280,Thamnophilus zarumae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,zarumae,,,,"Chapman, 1921",Least Concern,,3.1,Decreasing,Global
93821906,22701285,Thamnophilus multistriatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,multistriatus,,,,"Lafresnaye, 1844",Least Concern,,3.1,Stable,Global
93822098,22701293,Thamnophilus bridgesi,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,bridgesi,,,,"Sclater, 1856",Least Concern,,3.1,Decreasing,Global
93822262,22701296,Thamnophilus nigriceps,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,nigriceps,,,,"Sclater, 1869",Least Concern,,3.1,Unknown,Global
93822641,22701302,Thamnophilus nigrocinereus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,nigrocinereus,,,,"Sclater, 1855",Near Threatened,A3c,3.1,Decreasing,Global
93822881,22701306,Thamnophilus cryptoleucus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,cryptoleucus,,,,"(Ménégaux & Hellmayr, 1906)",Near Threatened,A3c,3.1,Decreasing,Global
93823125,22701309,Thamnophilus aethiops,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,aethiops,,,,"Sclater, 1858",Least Concern,,3.1,Decreasing,Global
93823327,22701312,Thamnophilus unicolor,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,unicolor,,,,"(Sclater, 1859)",Least Concern,,3.1,Decreasing,Global
93823502,22701315,Thamnophilus schistaceus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,schistaceus,,,,"d'Orbigny, 1835",Least Concern,,3.1,Decreasing,Global
93823693,22701318,Thamnophilus murinus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,murinus,,,,"Sclater & Salvin, 1867",Least Concern,,3.1,Decreasing,Global
93823902,22701322,Thamnophilus aroyae,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,aroyae,,,,"(Hellmayr, 1904)",Least Concern,,3.1,Decreasing,Global
93824079,22701325,Thamnophilus punctatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,punctatus,,,,"(Shaw, 1809)",Least Concern,,3.1,Unknown,Global
93824273,22701332,Thamnophilus insignis,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,insignis,,,,"Salvin & Godman, 1884",Least Concern,,3.1,Decreasing,Global
93824448,22701335,Thamnophilus amazonicus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,amazonicus,,,,"Sclater, 1858",Least Concern,,3.1,Stable,Global
93824672,22701338,Thamnophilus caerulescens,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,caerulescens,,,,"Vieillot, 1816",Least Concern,,3.1,Decreasing,Global
93824876,22701343,Thamnophilus torquatus,ANIMALIA,CHORDATA,PASSERIFORMES,AVES,THAMNOPHILIDAE,Thamnophilus,torquatus,,,,"Swainson, 1825",Least Concern,,3.1,Decreasing,Global
